@jackshafer,257
@thegoodhuman,254
@BresPolitico,252
@jeffzeleny,250
@leahmcelrath,249
@mitchellreports,248
@yoyoha,248
@SethAbramovitch,246
@JoshElliott32,244
@emilybell,242
@mtomasky,241
@matthewjdowd,240
@maureenjohnson,239
@SenTedCruz,238
@jdickerson,237
@rebeccagberg,236
@JHWeissmann,235
@jtannenwald,235
@gregorydjohnsen,235
@jianghomeshi,233
@kevin_powell,233
@kingsthings,233
@felixsalmon,233
@jonathanchait,233
@RabbiShmuley,231
@ryangrim,229
@Reince,228
@AdamSank,228
@BillWeirCNN,225
@kausmickey,224
@cenkuygur,220
@SpeakerBoehner,219
@joshuatopolsky,219
@GroverNorquist,219
@DanaPerino,219
@LarrySabato,216
@joshgroban,215
@DouthatNYT,214
@liamstack,213
@jamesoliphant,213
@JakeSherman,212
@fakedansavage,209
@JoshuaGreen,208
@GhostPanther,208
@billmaher,208
@ZachBroussard,207
@levie,206
@rickygervais,206
@joanwalsh,205
@RyanLizza,200
@EliLake,199
@AdrianChen,199
@zachbraff,197
@jedlewison,197
@imchriskelly,197
@BillyMerritt,197
@NancyPelosi,197
@thelittleidiot,196
@BlanksSlate,196
@SenGillibrand,196
@baratunde,196
@MMFlint,196
@AnnaHolmes,194
@ConanOBrien,194
@Ed_Husain,194
@jenanmoussa,193
@AlexPappas,192
@chucknicecomic,192
@EHolmesWSJ,192
@lenadunham,191
@TomArnold,189
@hillhulse,189
@MarkHalperin,188
@SenatorReid,188
@BruceLaBruce,187
@rainnwilson,186
@keithellison,186
@BarackObama,183
@WhiteHouse,183
@BadAstronomer,183
@Baird,182
@Joan_Rivers,180
@RobLowe,179
@carr2n,179
@quintywinties,179
@ComedyCentral,179
@alexmassie,177
@UncleRUSH,177
@kirstiealley,177
@PaulBlu,177
@LoniLove,175
@weeddude,173
@BuzzFeedBen,173
@edhenry,172
@AnnCoulter,171
@JamesWolcott,171
@davidaxelrod,169
@CoryBooker,168
@marcambinder,168
@BiancaJagger,168
@MarleeMatlin,166
@maggiepolitico,165
@TimothyNoah1,164
@EJDionne,164
@silvermanjacob,163
@PaulBegala,163
@JoeNBC,162
@amyewalter,161
@SenJohnMcCain,159
@NivenJ1,158
@AskDrRuth,157
@TheDailyShow,157
@BoyGeorge,155
@marcmaron,154
@FrEdwardBeck,154
@EricCantor,150
@joekellyjk47,149
@jimrome,149
@gabrielsnyder,149
@gaberivera,149
@SteveKornacki,148
@ryanavent,147
@brithume,147
@BeschlossDC,146
@cschweitz,146
@MelissaJoanHart,146
@marykissel,145
@JDL1185,145
@alexis_levinson,145
@joshrogin,145
@JohnCornyn,143
@PeterBeinart,143
@gregorykorte,143
@BrianJMoylan,142
@GrahamBlog,142
@KennethCole,141
@DanielLarison,141
@GoldyHA,141
@caitlinmoran,139
@ilyseh,139
@SenSchumer,139
@DrDigiPol,138
@MajorCBS,138
@meganamram,138
@tnyCloseRead,137
@OC,136
@RichardEngel,135
