twhandle,name,fcnt,profs
@CharaAsena,Asena,73,Magazin ünlüsü
@Chphalukkoc,Haluk Koç,8,"Milletvekili, CHP"
@cibecicina,Sibel Asna,1,İş kadını
@CicekDilligil,Çiçek Dilligil,17,Sanatçı
@ciftpelin,Pelin Çift,0,Sunucu
@CigdemAnad,Çiğdem Anad,4,Gazeteci
@cigdematabek,Çiğdem Atabek,1,Politikacı
@cigdemmater,Çiğdem Mater,14,Gazeteci
@Cihannaofficial,Cihan Sensözlü,0,Modacı
@CMYLMZ,Cem Yılmaz,151,Sanatçı
@csgbfarukcelik,Faruk Çelik,27,Milletvekili
@cundubeyoglu,Ebru Cündübeyoğlu,57,Dizi oyuncusu
@cuneytozdemir,Cüneyt Özdemir,61,"Gazeteci, Sunucu"
@cuneytsen,Cüneyt Şen,1,"Gazeteci, Sunucu"
@cuneyttoros,Cüneyt Toros,1,Gazeteci
@dalphan,Deniz Alphan,2,Gazeteci
@davala22,Ümit Davala,17,Sporcu
@dbdevletbahceli,Devlet Bahçeli,30,"Milletvekili, MHP"
@DCLCANOVA,Dicle Canova,13,Gazeteci
@ddemirkan,Demir Demirkan,28,Sanatçı
@DDeryaBaykal,Derya Baykal,22,"Sanatçı, Sunucu"
@degirmencirfan,İrfan Değirmenci,4,"Gazeteci, Sunucu"
@DemetAkalin,Demet Akalin Kurt,555,"Magazin ünlüsü, Şarkıcı"
@demetsabanci,Demet Sabancı,0,İş kadını
@demetsagiroglu,Demet Sağıroğlu,61,Şarkıcı
@DemirBetul,Betül Demir,16,Sanatçı
@DengirFirat,Dengir Firat,10,Politikacı
@DenizPulas,Deniz Pulaş Akkartal,12,Manken
@DenizUlke,Deniz Ülke Arıboğan,27,"Akademisyen, Köşe Yazarı"
@deniz_arcak,Deniz Arcak,17,Şarkıcı
@Deniz_Zeyrek,Deniz Zeyrek,5,Gazeteci
@DereogluBuket,Buket Dereoğlu,14,Sanatçı
@derinbmermerci,Derin B. Mermerci,11,Magazin ünlüsü
@deryakaradas1,Derya Karadaş,5,Dizi oyuncusu
@derya_sensoy,Derya Şensoy,41,Sanatçı
@desifrehaber,Mehmet Ali Önel,0,"Gazeteci, Sunucu"
@dfikrisaglar,Fikri Sağlar,6,"Köşe yazarı, Politikacı"
@DIBMehmetGormez,Mehmet Gormez,8,Bürokrat
