twhandle,name,fcnt,profs
@bekirtegun,Bekir İrtegün,12,Athlete
@bekrcoskn,Bekir Coşkun,25,Journalist
@Belcimb,Belçim Bilgin,6,Artist
@BelmaSatir,Mihrimah Belma Satır,3,"MP, AKP"
@Bengu,Bengü,85,Musician
@bennugerede,Bennu Gerede,11,Artist
@beratozipek,Berat Özipek,0,Academician
@bernaertenn,Berna Ertan,0,Journalist
@bernalacin35,Berna Laçin,137,Artist
@berraktzntc,Berrak Tüzünataç,56,TV Series actor
@Besiktas,Beşiktaş JK,19,Sports club
@besmersoy,Burcu Esmersoy,70,TV host
@beyazit_ozturk,Beyazıt Öztürk,6,TV host
@beyinsiz_adam,Beyinsiz Adam,34,"Twitter Phenomenon, Columnist"
@bfalay,Baris Falay,58,"Artist, TV Series actor"
@bgmoner,Begüm Öner,1,Artist
@BilalMacit,Bilal Macit,4,"MP, AKP"
@Bilal_Erdogan,Bilal Erdoğan,14,Businessman
@birgulaguler,Birgül Ayman Güler,14,"MP, CHP"
@biriciksuden,Biricik Suden,7,Celebrity
@birolguven,Birol Güven,23,"Author, Producer"
@birsentezer,Birsen Tezer,5,Artist
@bkenes,Bülent Keneş,6,Journalist
@bkusoglu,Bülent Kuşoğlu,6,"MP, CHP"
@Boraoztoprak,Bora Öztoprak,8,Musician
@bskazizkocaoglu,Aziz Kocaoğlu,3,Politician
@BugraGulsoy,Buğra Gülsoy,40,Artist
@BuketUzuner,Buket Uzuner,15,Author
@bulentparlak,Bülent Parlak,4,TV Series actor
@bulenttanik,Bülent Tanık,3,Politician
@bulenttezcanchp,Bulent Tezcan,8,"MP, CHP"
@bulent_arinc,Bülent Arınç,43,"MP, AKP"
@bulent_korucu,Bülent Korucu,0,Journalist
@BunyaminSurmeli,Bünyamin Sürmeli,2,TV host
@burak,Burak Bayburtlu,8,Executive
@burak_eldem,Burak Eldem,8,Author
@Burak__Elmas,Burak Elmas,3,Businessman
@Burcakguven,Ayse Burcak Güven,15,Journalist
@BurcuGnes,Burcu Güneş,29,Artist
@BurhanKuzu,Burhan Kuzu,18,"MP, AKP"
@burhansesen,Burhan Şeşen,9,Musician
@BursasporSk,Bursaspor,2,Sports club
@busearici,Buse Arıcı,4,Twitter Phenomenon
@BuseTerim,Buse Terim,101,Celebrity
@busrapekin,Büşra Pekin,43,Artist
@buyukersen,Yılmaz Büyükerşen,5,Politician
@bybekirbozdag,Bekir Bozdağ,33,"MP, AKP"
@cagatayozdogru,Çagatay Özdoğru,5,Executive
@caglarmustafa,Mustafa Çağlar,1,Businessman
@cakir_rusen,Ruşen Çakır,22,"Journalist, Columnist"
@CalikogluLevent,levent calikoglu,4,Artist
@calikoznur,Öznur Çalık,2,Columnist
@CanAnayasa,Osman Can,3,"Academician, Legist"
@cananbarlas,Canan Barlas,20,"Author, Columnist"
@canbonomo,Can Bonomo,51,Musician
@CandanYceer,Candan Yüceer,20,"MP, CHP"
@Candan_Dost,Candan Karlıtekin,3,Businessman
@CandasTolga,Candaş Tolga Işık,16,Columnist
@candemirkoray,Koray Candemir,1,Artist
@candundaradasi,Can Dündar,59,"Journalist, Producer"
@canerclsr,Caner Çalışır,0,Twitter Phenomenon
@canereler,Caner Eler,4,Journalist
@cantanriyar1907,Can Tanrıyar,20,Producer
@cantongo,Can Tongo,29,TV host
@can_atakli_,Can Ataklı,54,Journalist
@cbabdullahgul,Abdullah Gül,250,Politician
@ccanozz,Can Öz,8,Businessman
@cdavran,Cem Davran,81,"Artist, TV host"
@ceceydates,Ceyda Ateş,0,"TV Series actor, Movie Actor"
@cefi,Cefi Kamhi,7,"Politician, Businessman"
@celalpir,Celal Pir,6,Journalist
@CelalToprak1,Celal Toprak,3,Columnist
@celikerisci,Çelik Erişçi,1,Artist
@cemadrian,Cem Adrian,8,Artist
@cemerciyes,Cem Erciyes,2,Journalist
@cemilertem,Cemil Ertem,3,"Academician, Columnist"
@ceminaycem,Cem Ceminay,39,Radio DJ
@cemkinay,Cem Kinay,1,Businessman
@cemkucuk55,Cem Küçük,5,Columnist
@cemmumcu,Cem Mumcu,8,"Author, Scientist"
@cemseymen,Cem Seymen,0,"TV host, Commentator"
@cem_boyner,Cem Boyner,12,Businessman
@cem_ozer,Cem Özer,26,"Artist, TV host"
@CengizCandar,Cengiz Çandar,5,"Journalist, Columnist"
@CengizHrtgl,Cengiz Hortoğlu,0,Social entrepreneur
@cengizsemercio,Cengiz Semercioglu,11,Journalist
@Cengizyavili,Cengiz Yavilioğlu,4,"MP, AKP"
@Cengiz_Turhan,Cengiz Turhan,2,Adman
@cenkerenonline,Cenk Eren,26,Musician
@cenksidar,Cenk Sidar,9,Businessman
@CenkTosun_,Cenk Tosun,9,Athlete
@ceriLevis,Ömür Özdemir,36,Twitter Phenomenon
@CetinSoysalCHP,Çetin Soysal,3,"MP, CHP"
@Cevdet_Erdol,Cevdet Erdöl,3,"MP, AKP"
@ceydak,Ceyda Karan,25,Journalist
@Ceyda_duvenci,Ceyda Düvenci,36,"TV Series actor, Movie Actor"
@ceyhunyilmaz,Ceyhun Yılmaz,100,"Author, TV host, Radio DJ"
@CEZA_ED,Ceza,15,Musician
@CharaAsena,Asena,73,Celebrity
@Chphalukkoc,Haluk Koç,8,"MP, CHP"
@cibecicina,Sibel Asna,1,Businesswoman
@CicekDilligil,Çiçek Dilligil,17,Artist
@ciftpelin,Pelin Çift,0,TV host
@CigdemAnad,Çiğdem Anad,4,Journalist
@cigdematabek,Çiğdem Atabek,1,Politician
@cigdemmater,Çiğdem Mater,14,Journalist
@Cihannaofficial,Cihan Sensözlü,0,Stylist
@CMYLMZ,Cem Yılmaz,151,Artist
@csgbfarukcelik,Faruk Çelik,27,"AKP, MP"
@cundubeyoglu,Ebru Cündübeyoğlu,57,TV Series actor
@cuneytozdemir,Cüneyt Özdemir,61,"Journalist, TV host"
@cuneytsen,Cüneyt Şen,1,"Journalist, TV host"
@cuneyttoros,Cüneyt Toros,1,Journalist
@dalphan,Deniz Alphan,2,Journalist
@davala22,Ümit Davala,17,Athlete
@dbdevletbahceli,Devlet Bahçeli,30,"MP, MHP"
@DCLCANOVA,Dicle Canova,13,Journalist
@ddemirkan,Demir Demirkan,28,Artist
@DDeryaBaykal,Derya Baykal,22,"Artist, TV host"
@degirmencirfan,İrfan Değirmenci,4,"Journalist, TV host"
@DemetAkalin,Demet Akalin Kurt,555,"Celebrity, Musician"
@demetsabanci,Demet Sabancı,0,Businesswoman
@demetsagiroglu,Demet Sağıroğlu,61,Musician
@DemirBetul,Betül Demir,16,Artist
@DengirFirat,Dengir Firat,10,Politician
@DenizPulas,Deniz Pulaş Akkartal,12,Model
@DenizUlke,Deniz Ülke Arıboğan,27,"Academician, Columnist"
@deniz_arcak,Deniz Arcak,17,Musician
@Deniz_Zeyrek,Deniz Zeyrek,5,Journalist
@DereogluBuket,Buket Dereoğlu,14,Artist
@derinbmermerci,Derin B. Mermerci,11,Celebrity
@deryakaradas1,Derya Karadaş,5,TV Series actor
@derya_sensoy,Derya Şensoy,41,Artist
@desifrehaber,Mehmet Ali Önel,0,"Journalist, TV host"
@dfikrisaglar,Fikri Sağlar,6,"Columnist, Politician"
@DIBMehmetGormez,Mehmet Gormez,8,Bureaucrat
@DidemUzelSARI,Didem Üzel Sarı,2,"TV Series actor, Model"
@didem_soydan,Didem Soydan,0,Model
@dmtevgar,Demet Evgar,52,TV Series actor
@Doarutkay,Doğa Rutkay,79,Artist
@DOGANAKINT24,Doğan Akın,1,Journalist
@DoganCuceloglu,Doğan Cüceloğlu,9,"Academician, Author"
@doganduru,Doğan Duru,8,Artist
@DogusOfficial,Doğuş,25,Musician
@doguyucel,Doğu Yücel,16,Author
@DOSTLARTIYATRO,Genco Erkal,6,Artist
@DrArguden,Dr. Argüden,2,Consultant
@drcemkece,Cem Keçe,0,"Scientist, Author"
@drerolkose,Erol Köse,113,Producer
@drgurbuzcapan,Gürbüz ÇAPAN,9,Politician
@drhaluksavas,Prof. Dr. Haluk Savaş,1,"Academician, Scientist"
@drorhanatalay65,orhan atalay,2,"MP, AKP"
@DrSinanOgan,Sinan Oğan,21,"MP, MHP"
@Dr_K_Aydin,Kemalettin Aydın,4,"MP, AKP"
@dsatmis,Doğan Satmış,1,Journalist
@ducane,Dücane Cündioğlu,3,Author
@DudekSenay,Şenay DÜDEK,16,Journalist
@duygucetinkaya,Duygu Çetinkaya,17,Celebrity
@D_AliTorlak,Ali Torlak,5,"MP, MHP"
@eadksk,Engin Altan Duzyatan,41,"TV Series actor, TV host"
@ebabahan,Ergun Babahan,24,Journalist
@ebasaksengul,Başak Şengül,9,TV host
@EbruBaki,Ebru Baki,31,"Journalist, TV host"
@ebrucapa,Ebru Çapa,16,"Journalist, Columnist"
@ebrudestaninan,Ebru Destan İnan,19,"Model, Musician"
@EbruGundes,Ebru Gündeş,196,Musician
@ebrusallitan,Ebru Şallı Tan,56,"Model, Athlete, TV host"
@EbruYasarOnline,Ebru Yaşar,21,Musician
@Ebru_Polat,Ebru Polat,234,Musician
@ebru_sanci,Ebru Şancı,33,"Celebrity, Model"
@Ece44,Ece Uslu,13,TV Series actor
@eceerken,Ece Erken,195,TV host
@ecem_gursel,Ece Gürsel,0,Musician
@ecevahapoglu,Ece Vahapoğlu,34,"TV host, Author"
@ece_sukan,Ece Sukan,54,"Stylist, Model"
@edaeceu,Eda Ece,0,TV Series actor
@edibesozen,Edibe Sözen,16,Politician
@edihvet,Şebnem Sönmez,17,"TV Series actor, Theater Actor"
@efkanala,Efkan Âlâ,3,Politician
@EgemenBagis,Egemen Bağış,49,"MP, AKP"
@egzOzpirincci,Ozge Ozpirincci,18,Artist
@ekinturkmen,Ekin Türkmen,31,TV Series actor
@EkremDumanli,Ekrem Dumanlı,10,Journalist
@eksihabermas,Ekşihabermas,22,Twitter Phenomenon
@ekurkcuHDP,Ertuğrul Kürkçü,8,"MP, HDP"
@elifaktug,Elif Aktug,26,Columnist
@elifcakirr,Elif Çakır,16,Columnist
